Title: Temperature and Distance Dependence of Tidal Circularization in Close 
       Binaries: A Catalog of Eclipsing Binaries in the Southern Hemisphere 
       Observed by the TESS Satellite.  
Authors: Justesen A.B., Albrecht S. 
Table: Orbital Parameters of TESS Eclipsing Binaries
================================================================================
Byte-by-byte Description of file: apjabefcdt2_mrt.txt
--------------------------------------------------------------------------------
   Bytes Format Units Label  Explanations
--------------------------------------------------------------------------------
   1-  9 I9     ---   TIC    TESS Input Catalog ID
  11- 25 E15.9  d     P      Orbital period
  27- 41 E15.9  ---   t1     Time of primary eclipse (1)
  43- 57 E15.9  ---   t2     Time of secondary eclipse (1)
  59- 73 E15.9  ---   ecosw  Eccentricity times cos(longitude of periastron) 
  75- 89 E15.9  ---   d1     Depth of primary eclipse
  91-105 E15.9  ---   d2     Depth of secondary eclipse
 107-121 E15.9  mag   Tmag   TESS apparent magnitude
--------------------------------------------------------------------------------
Note (1): TESS Barycentric Julian Date (BJD - 2457000).
--------------------------------------------------------------------------------
168312820 6.934526455e+00 1.545525638e+03 1.548991611e+03 2.916471524e-04 3.595076405e-02 5.872889463e-03 1.232340000e+01 
 48227288 2.896514380e+00 1.602380780e+03 1.603827851e+03 6.425827513e-04 1.352879507e-01 2.050954586e-02 7.777790000e+00 
349970685 1.256706696e+00 1.545580412e+03 1.544952320e+03 3.267863282e-04 9.546928498e-02 1.323423410e-02 1.290700000e+01 
200440175 3.651419394e+00 1.413271395e+03 1.415097011e+03 4.015120860e-05 4.394488288e-01 4.336535102e-01 1.182180000e+01 
165186801 1.049450817e+00 1.438165821e+03 1.438690544e+03 4.122401986e-06 8.130856008e-01 1.662712878e-01 1.094750000e+01 
 31796120 1.994180816e+00 1.354825405e+03 1.353828322e+03 5.942624125e-06 2.373337334e-01 2.126916888e-01 1.001410000e+01 
 63192395 3.064975172e+00 1.493330175e+03 1.494861506e+03 5.927903684e-04 3.208897466e-01 3.057575924e-01 9.601960000e+00 
124106762 4.185946009e+00 1.471855031e+03 1.473941606e+03 2.400004625e-03 3.035148254e-01 1.563955760e-01 1.492490000e+01 
 36352297 3.017905969e+00 1.469068531e+03 1.470576631e+03 4.439950845e-04 2.252878876e-02 2.412943682e-02 1.305010000e+01 
220475245 7.563267128e+00 1.655336301e+03 1.651555081e+03 8.579007132e-05 1.895010586e-02 1.783029858e-02 1.270800000e+01 
178168644 2.184984141e+00 1.493446225e+03 1.494537355e+03 9.720481645e-04 6.298031947e-02 6.429053934e-02 1.399530000e+01 
216190934 2.674768241e+00 1.630498489e+03 1.629378981e+03 1.282887839e-01 1.721780888e-02 1.375162367e-02 1.007460000e+01 
 22538139 4.633271003e+00 1.520180144e+03 1.522496533e+03 8.346179789e-05 1.093703785e-01 8.140007495e-03 7.589200000e+00 
 30313682 5.727366726e+00 1.473080986e+03 1.475944621e+03 1.329738600e-05 1.538158348e-01 1.137701302e-01 1.006240000e+01 
160328766 1.031873586e+01 1.470032924e+03 1.467757862e+03 4.303525798e-01 3.876215665e-01 1.560598835e-01 7.756100000e+00 
410354930 2.600153475e+00 1.326371890e+03 1.327671963e+03 2.122982503e-06 7.147675443e-01 1.174936950e-01 1.119860000e+01 
394698182 7.423148658e+00 1.655840211e+03 1.659551069e+03 1.513112616e-04 1.219399469e-02 1.130838252e-02 1.196920000e+01 
  3784444 7.239092927e-01 1.544986696e+03 1.544637336e+03 2.732643801e-02 1.337032130e-02 8.856953136e-03 1.410170000e+01 
286310830 8.368786501e+00 1.545835948e+03 1.542257432e+03 1.135363559e-01 4.103990894e-01 3.878386891e-01 1.017680000e+01 
458859364 2.300054725e+00 1.601597169e+03 1.602738373e+03 6.024438701e-03 2.137819233e-01 1.732581660e-01 7.443600000e+00 
160036449 1.893183024e+00 1.326834123e+03 1.325887809e+03 2.302745961e-04 4.677243654e-01 7.690314539e-02 1.080220000e+01 
401926767 1.360075975e+01 1.442270584e+03 1.438460617e+03 3.484783701e-01 5.287814442e-01 4.626689722e-01 1.027060000e+01 
219238496 6.505355252e+00 1.417301165e+03 1.414212936e+03 3.971143656e-02 3.266975282e-01 8.977008545e-02 8.749200000e+00 
 56127811 3.723563084e+00 1.438950973e+03 1.440738897e+03 3.112295088e-02 1.358721891e-01 8.014758968e-03 9.136500000e+00 
404477044 7.103495689e+00 1.412749411e+03 1.416297461e+03 8.173876338e-04 1.996989203e-01 1.939642145e-01 8.018700000e+00 
201176965 1.364025939e+00 1.354382363e+03 1.355064318e+03 6.645136251e-05 3.439022046e-01 6.987753226e-02 1.113780000e+01 
272086869 3.982736573e+00 1.655863512e+03 1.654086783e+03 8.473312811e-02 1.735689627e-02 5.605380204e-03 1.049320000e+01 
